src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,Label
192.168.246.84,192.168.246.255,56972,51007,17,2024-03-08 14:22:47,14055911.0,66.1643347058757,0.3557222296014822,0.3557222296014822,0.0,5,0,930,0,186,186,186.0,0.0,0,0,0.0,0.0,186,186,186.0,0.0,0.0,40,0,8,5,3513977.75,3720334.0,3327357.0,167165.91584018405,14055911.0,3720334.0,3327357.0,3513977.75,167165.91584018405,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,186.0,0,0,0.0,0.0,0.0,0.0,3634825.0,346939.0,1990882.0,1643943.0,0,0,0,0,0,0,186.0,0.0,0,5,0,930,0,BENIGN
192.168.218.4,192.168.218.255,55439,51007,17,2024-03-08 14:22:48,12024842.0,61.87191482432784,0.3326447033566013,0.3326447033566013,0.0,4,0,744,0,186,186,186.0,0.0,0,0,0.0,0.0,186,186,186.0,0.0,0.0,32,0,8,4,4008280.6666666665,4010472.0,4006115.0,1778.8303897661394,12024842.0,4010472.0,4006115.000000001,4008280.6666666665,1778.8303897659505,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,186.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,186.0,0.0,0,4,0,744,0,BENIGN
192.168.218.7,239.255.255.250,59835,1900,17,2024-03-08 14:22:48,3021630.0,287.2621730655309,1.3237888159701885,1.3237888159701885,0.0,4,0,868,0,217,217,217.0,0.0,0,0,0.0,0.0,217,217,217.0,0.0,0.0,32,0,8,4,1007210.0,1007988.0,1006345.0,673.5671211294882,3021630.0,1007988.0,1006345.0,1007210.0,673.567121129538,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,217.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,217.0,0.0,0,4,0,868,0,BENIGN
192.168.220.140,192.168.218.24,52971,7680,6,2024-03-08 14:22:48,30073.0,29062.614305190706,365.7766102483956,199.51451468094305,166.26209556745255,6,5,458,416,129,54,76.33333333333333,28.82514334550461,129,60,83.2,27.520174418051933,129,54,79.45454545454545,28.4456855215934,809.1570247933884,120,100,20,2,3007.3,11578.0,0.0,4028.239492631986,24561.0,11630.0,114.0,4912.2,4647.581495788965,26570.0,11835.0,0.0,6642.5,4385.3627273009015,2,2,0,0,2,2,0,4,10,0,0,0.8333333333333334,79.45454545454545,64240,4100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,76.33333333333333,83.2,0,6,5,458,416,BENIGN
192.168.218.4,255.255.255.255,1046,1046,17,2024-03-08 14:22:48,14001770.0,76.06181218517374,1.071293129368644,1.071293129368644,0.0,15,0,1065,0,71,71,71.0,0.0,0,0,0.0,0.0,71,71,71.0,0.0,0.0,120,0,8,15,1000126.4285714284,1012564.0,995099.0,4384.613302940925,14001770.0,1012564.0,995099.0,1000126.4285714284,4384.61330294093,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,14405.0,4619.0,9293.0,4007.104690421752,1002042.0,5945.0,257476.75,429889.9889357596,0,0,0,0,0,0,71.0,0.0,0,15,0,1065,0,BENIGN
192.168.0.77,255.255.255.255,1046,1046,17,2024-03-08 14:22:48,14003968.0,76.04987386432188,1.0711249840045336,1.0711249840045336,0.0,15,0,1065,0,71,71,71.0,0.0,0,0,0.0,0.0,71,71,71.0,0.0,0.0,120,0,8,15,1000283.4285714284,1013244.0,995296.0,4653.615778760267,14003968.0,1013244.0,995296.0,1000283.4285714284,4653.61577876027,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,14810.0,4197.0,9313.666666666666,4341.048439669334,1002042.0,5974.0,257942.75,429619.8788658266,0,0,0,0,0,0,71.0,0.0,0,15,0,1065,0,BENIGN
192.168.1.88,255.255.255.255,1046,1046,17,2024-03-08 14:22:48,14004700.0,76.04589887680565,1.0710689982648682,1.0710689982648682,0.0,15,0,1065,0,71,71,71.0,0.0,0,0,0.0,0.0,71,71,71.0,0.0,0.0,120,0,8,15,1000335.7142857144,1013244.0,995611.0,4563.748121705156,14004700.0,1013244.0,995611.0,1000335.7142857144,4563.748121705172,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,15247.0,4197.0,9276.0,4555.02455170844,1002042.0,6199.0,257999.5,429586.6078944384,0,0,0,0,0,0,71.0,0.0,0,15,0,1065,0,BENIGN
192.168.5.88,255.255.255.255,1046,1046,17,2024-03-08 14:22:48,14004665.0,76.04608892822499,1.0710716750454223,1.0710716750454223,0.0,15,0,1065,0,71,71,71.0,0.0,0,0,0.0,0.0,71,71,71.0,0.0,0.0,120,0,8,15,1000333.2142857144,1012923.0,995405.0,4487.621294478074,14004665.0,1012923.0,995405.0,1000333.2142857144,4487.621294478094,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,15619.0,3775.0,9361.666666666666,4858.492861874852,1001892.0,6792.0,258094.5,429441.74266918906,0,0,0,0,0,0,71.0,0.0,0,15,0,1065,0,BENIGN
192.168.12.88,255.255.255.255,1046,1046,17,2024-03-08 14:22:48,14004710.0,76.0458445765746,1.0710682334728816,1.0710682334728816,0.0,15,0,1065,0,71,71,71.0,0.0,0,0,0.0,0.0,71,71,71.0,0.0,0.0,120,0,8,15,1000336.4285714284,1012863.0,996027.0,4357.926959892181,14004710.0,1012863.0,996027.0,1000336.4285714284,4357.9269598922,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,15878.0,3579.0,9155.0,5086.128652193795,1001697.0,7050.0,257853.75,429468.4347267998,0,0,0,0,0,0,71.0,0.0,0,15,0,1065,0,BENIGN
192.168.50.88,255.255.255.255,1046,1046,17,2024-03-08 14:22:48,14004883.0,76.0449051948524,1.0710550027444,1.0710550027444,0.0,15,0,1065,0,71,71,71.0,0.0,0,0,0.0,0.0,71,71,71.0,0.0,0.0,120,0,8,15,1000348.7857142856,1012906.0,995746.0,4391.49733947922,14004883.0,1012906.0,995746.0,1000348.7857142856,4391.497339479233,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,71.0,0,0,16077.000000000002,3464.0,9215.333333333334,5208.74727955026,1001818.0,7022.0,257963.0,429474.1867784372,0,0,0,0,0,0,71.0,0.0,0,15,0,1065,0,BENIGN
